review_text,category
"The delivery was late and I received the wrong item","Delivery Issue"
"The product quality is very poor and broke after one use","Product Quality"
"Customer support was unhelpful and rude","Customer Service"
"Great product, exactly as described!","Product Quality"
"Delivery was quick but packaging was damaged","Delivery Issue"
"I had to wait a long time for support to respond","Customer Service"
"This is my second time buying, and it's excellent","Product Quality"
"Package was lost during transit","Delivery Issue"
"The support team solved my problem quickly","Customer Service"
"Product works fine but color is slightly different","Product Quality"
